;"Ogrody botaniczne, Kraków";"50.063754";"19.958823";"3"
;"Wzniesiony w XIVw przez biskupa Floriana z Mokrska. Przebudowy na renesansowa rezydencje dokonal Franciszek Krasinski w XVI i XVIIw, a potem w XVIIIw.";"50.941934";"20.952109";"3"
;"Zoo, Łódź, ";"51.762704";"19.409018";"3"
;"Baszta, wstep platny. Wspanialy widok na Lagow i obydwa jeziora.";"52.334742";"15.291893";"3"
;"Wodogrzmoty Mickiewicza a właściwie Pośredni Wodogrzmot (pozostałe niewidoczne z mostu). Utworzone na Potoku Roztoka. Dojście z parkingu w Palenicy Białczańskiej ok 35 min.";"49.234336";"20.087002";"3"
;"Zoo, Gdańsk, zoo oliwski";"54.414763";"18.536122";"3"
;"Ogrody botaniczne, Gdańsk, Park Oliwski";"54.408834";"18.562002";"3"
;"Wieżyca. Niedaleko znajduje się parking";"54.220313";"18.119902";"3"
;"Zamki, Lublin, ";"51.250603";"22.571432";"3"
;"Miejsca Godne Zwiedzenia, Koszalin, Skansen";"54.193082";"16.181352";"3"
;"Widok na cały Kraków, szczególnie ładnie po zmierzchu.";"49.989725";"19.968767";"3"
;"Taras widokowy, niestety brak możliwości wjechania samochodem.";"54.085475";"15.024372";"3"
;"Zamek krzyżacki w Malborku.W 1997 roku został wpisany na listę światowego dziedzictwa UNESCO.";"54.040668";"19.029264";"3"
;"Muzeum Zamkowe w Pszczynie";"49.978211";"18.940461";"3"
;"Krolewski Zamek na Wawelu. Budowe rozpoczal w XIVw. Kazimierz Wielki. Wielokrotnie niszczony. Do dzis zachowaly sie zarowno gotyckie, jak i renesansowe zabudowania, katedra z sarkofagami polskich monarchow.";"50.054562";"19.936366";"3"
;"największy w Polsce obszar lotnych piasków pochodzenia fluwioglacjalnego leżący na pograniczu Wyżyny Śląskiej i Wyżyny Olkuskiej.";"50.361153";"19.519013";"3"
;"Park zdrojowy w którym znajduje się Pijalnia wody";"50.442959";"16.244243";"3"
;"Ruiny zamku do których nalży kierować się niebieskim szlakiem. Zamek ten powstał w XIV wieku, został spalony w roku 1771 w czasie walk konfederacji barskiej z wojskami rosyjskimi. Z murów zamkowych rozpościera się widok na Dunajec oraz odległy o 3 km Zakliczyn oraz widoczną na południowym wschodzie wieś Tropie. Po stronie południowej zamku znajdowały się kiedyś uprawy winnej latorośli, zasadzonej przez Lanckorońskich.";"49.871210";"20.770590";"3"
;"Pałac w Maciejowie - styl klasycystyczny. Projektował Carl Gotthard Langhans (twórca Bramy Brandenburskiej). Rok budowy datowany jest na ok. 1790 r. Powierzchnia ok. 1500 m2. Wpisany do rejestru zabytków 803/64.    Na terenie pałacu znajduje się zaspół malowideł ściennych - romantyzm z przełomu XVIII i XIX w. Wysoka klasa artystyczna i historyczna. Jest jednym z nielicznych obiektów które zachowały się z wyposażenia pałaców sprzed 1939 r. Tempera na tynku w salonie na I piętrze wpisana jest w rejestr zabytków Ks.B.t.II-93/1/-8/07.";"51.034215";"18.287858";"3"
;"Ogrody botaniczne, Rogów, OGRÓD SGGW";"51.821773";"19.845600";"3"
;"Muzea i Skanseny, Wolin, ";"53.844425";"14.616987";"3"
;"Perła Renesansu  Zwiedzajcie, podziwiajcie i odwiedzajcie renesansowe miasto arkad - jedyne takie w Polsce.";"50.717058";"23.252606";"3"
;"Zbudowany w XIIIw przez Boleslawa II Rogatki (zw. Lysym) i rozbudowany przez ksiecia Bolka I. W XIVw przeszedl na wlasnosc krolow czeskich, by w XVw dostac sie w rece rycerza-zboja Jana z Czernej. Obecnie miesci sie tu Muzeum w Jeleniej Gorze";"50.921922";"16.097739";"3"
;"Austriacka Twierdza Kraków. Fort 50 Prokocim. Fort artyleryjski. Zbudowany w latach 1883-1886.";"50.010483";"19.997273";"3"
